,PartNumber,Inductance,SubCkt
12,016008C-4N3,4.3nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-4N3;* Inductance = 4.3nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-13GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-4N3_imp port1 port2 PARAMS: Cpar=0.041pF Ind=4.3nH;X1 port1 port2 Model1D PARAMS:;+ R1=13.9;+ R2=0.16;+ C= {Cpar};+ K1=0.0000182;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=6605.53904;.ends 016008C-4N3_imp
13,016008C-4N7,4.7nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-4N7;* Inductance = 4.7nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-13GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-4N7_imp port1 port2 PARAMS: Cpar=0.038pF Ind=4.7nH;X1 port1 port2 Model1D PARAMS:;+ R1=8.9;+ R2=0.22;+ C= {Cpar};+ K1=0.000017;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=11504.0165;.ends 016008C-4N7_imp
14,016008C-5N1,5.1nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-5N1;* Inductance = 5.1nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-12GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-5N1_imp port1 port2 PARAMS: Cpar=0.045pF Ind=5.1nH;X1 port1 port2 Model1D PARAMS:;+ R1=17.8;+ R2=0.28;+ C= {Cpar};+ K1=0.0000198;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=5723.77033;.ends 016008C-5N1_imp
15,016008C-5N3,5.3nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-5N3;* Inductance = 5.3nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-12GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-5N3_imp port1 port2 PARAMS: Cpar=0.038pF Ind=5.3nH;X1 port1 port2 Model1D PARAMS:;+ R1=10.9;+ R2=0.36;+ C= {Cpar};+ K1=0.0000255;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=10260.0772;.ends 016008C-5N3_imp
16,016008C-5N8,5.8nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-5N8;* Inductance = 5.8nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-12GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-5N8_imp port1 port2 PARAMS: Cpar=0.035pF Ind=5.8nH;X1 port1 port2 Model1D PARAMS:;+ R1=14.9;+ R2=0.21;+ C= {Cpar};+ K1=0.0000237;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=9527.91304;.ends 016008C-5N8_imp
17,016008C-6N0,6nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-6N0;* Inductance = 6nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-12GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-6N0_imp port1 port2 PARAMS: Cpar=0.033pF Ind=6nH;X1 port1 port2 Model1D PARAMS:;+ R1=11.4;+ R2=0.29;+ C= {Cpar};+ K1=0.0000245;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=12986.9795;.ends 016008C-6N0_imp
18,016008C-6N2,6.2nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-6N2;* Inductance = 6.2nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-12GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-6N2_imp port1 port2 PARAMS: Cpar=0.033pF Ind=6.2nH;X1 port1 port2 Model1D PARAMS:;+ R1=18;+ R2=0.34;+ C= {Cpar};+ K1=0.0000249;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=9116.95481;.ends 016008C-6N2_imp
19,016008C-6N8,6.8nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-6N8;* Inductance = 6.8nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-11GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-6N8_imp port1 port2 PARAMS: Cpar=0.036pF Ind=6.8nH;X1 port1 port2 Model1D PARAMS:;+ R1=21;+ R2=0.42;+ C= {Cpar};+ K1=0.0000285;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=7921.5879;.ends 016008C-6N8_imp
20,016008C-6N9,6.9nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-6N9;* Inductance = 6.9nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-11GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-6N9_imp port1 port2 PARAMS: Cpar=0.037pF Ind=6.9nH;X1 port1 port2 Model1D PARAMS:;+ R1=17.2;+ R2=0.42;+ C= {Cpar};+ K1=0.0000285;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=9311.66381;.ends 016008C-6N9_imp
21,016008C-7N8,7.8nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-7N8;* Inductance = 7.8nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-10GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-7N8_imp port1 port2 PARAMS: Cpar=0.04pF Ind=7.8nH;X1 port1 port2 Model1D PARAMS:;+ R1=13.6;+ R2=0.34;+ C= {Cpar};+ K1=0.0000333;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=11640.3496;.ends 016008C-7N8_imp
22,016008C-8N2,8.2nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-8N2;* Inductance = 8.2nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-10GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-8N2_imp port1 port2 PARAMS: Cpar=0.037pF Ind=8.2nH;X1 port1 port2 Model1D PARAMS:;+ R1=25;+ R2=0.39;+ C= {Cpar};+ K1=0.0000368;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=7782.93863;.ends 016008C-8N2_imp
23,016008C-8N8,8.8nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-8N8;* Inductance = 8.8nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-10GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-8N8_imp port1 port2 PARAMS: Cpar=0.035pF Ind=8.8nH;X1 port1 port2 Model1D PARAMS:;+ R1=29;+ R2=0.5;+ C= {Cpar};+ K1=0.0000393;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=7692.50596;.ends 016008C-8N8_imp
24,016008C-10N,10nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-10N;* Inductance = 10nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-9GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-10N_imp port1 port2 PARAMS: Cpar=0.033pF Ind=10nH;X1 port1 port2 Model1D PARAMS:;+ R1=14.5;+ R2=0.45;+ C= {Cpar};+ K1=0.0000453;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=16176.6611;.ends 016008C-10N_imp
25,016008C-13N,13nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-13N;* Inductance = 13nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-8GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-13N_imp port1 port2 PARAMS: Cpar=0.036pF Ind=13nH;X1 port1 port2 Model1D PARAMS:;+ R1=2.75;+ R2=0.64;+ C= {Cpar};+ K1=0.0000597;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=45883.6552;.ends 016008C-13N_imp
26,016008C-15N,15nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-15N;* Inductance = 15nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-8GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-15N_imp port1 port2 PARAMS: Cpar=0.036pF Ind=15nH;X1 port1 port2 Model1D PARAMS:;+ R1=1.25;+ R2=0.71;+ C= {Cpar};+ K1=0.0000775;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=54371.8662;.ends 016008C-15N_imp
27,MODEL,0,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Impedance Inductor Model;*======================================================================;* Model Parameters:;*   Valid Frequency Range Varies by Inductor;*   Ambient Temperature = 25 degC;*   Time Domain Inductor Impedance Model;*======================================================================;.subckt Model1D Lin Lout PARAMS:;+ R1=1;+ R2=1;+ C=1;+ K3=1;+ PkZ=1;R2 Lin N001 {R2};R3 N001 Lout {PkZ};C1 N001 N002 {C};R1 N002 Lout {R1};L1 N001 Lout {K3};.ends Model1D
28,MODEL,0,"*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft RF Inductor Model;*======================================================================;* Model Parameters:;*   Valid Frequency Range Varies by Inductor;*   Ambient Temperature = 25 degC;*   DC Bias Current = 0 A;*   Frequency Dependent Inductor Model;*======================================================================;.subckt Model2A Lin Lout PARAMS:;+ R1=1;+ R2=1;+ C=1;+ K1=1;+ K3=1;R2 N001 Lin {R2};R1 Lout N002 {R1};C1 N002 N001 {C};G_Rvar1 N001 N003 LAPLACE { V(N001, N003) } {1/K1/(-S*S/4/PI^2)^0.25};L1 N003 Lout = {K3};.ends Model2A"
29,0201AF-330,33nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0201AF-330;* Inductance = 33nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0201AF-330_imp port1 port2 PARAMS: Cpar=0.124pF Ind=0.033uH;X1 port1 port2 Model1D PARAMS:;+ R1=408;+ R2=0.15;+ C= {Cpar};+ K1=1E-09;+ K2=0.0014;+ K3= {Ind};+ K4=0.00152;+ K5=1.35E-07;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=63.8476706;.ends 0201AF-330_imp
30,0201AF-510,51nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0201AF-510;* Inductance = 51nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0201AF-510_imp port1 port2 PARAMS: Cpar=0.041pF Ind=0.051uH;X1 port1 port2 Model1D PARAMS:;+ R1=558;+ R2=0.25;+ C= {Cpar};+ K1=1.1E-09;+ K2=0.0178;+ K3= {Ind};+ K4=0.002;+ K5=1.21E-07;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=651.268654;.ends 0201AF-510_imp
31,0201AF-680,68nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0201AF-680;* Inductance = 68nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0201AF-680_imp port1 port2 PARAMS: Cpar=0.054pF Ind=0.068uH;X1 port1 port2 Model1D PARAMS:;+ R1=526;+ R2=0.33;+ C= {Cpar};+ K1=1.04E-09;+ K2=0.0221;+ K3= {Ind};+ K4=0.00211;+ K5=1.19E-07;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=725.795056;.ends 0201AF-680_imp
32,0201AF-910,91nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0201AF-910;* Inductance = 91nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0201AF-910_imp port1 port2 PARAMS: Cpar=0.048pF Ind=0.091uH;X1 port1 port2 Model1D PARAMS:;+ R1=596;+ R2=0.37;+ C= {Cpar};+ K1=1.12E-09;+ K2=0.0404;+ K3= {Ind};+ K4=0.00283;+ K5=8.9E-08;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1141.96349;.ends 0201AF-910_imp
33,0201AF-111,110nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0201AF-111;* Inductance = 110nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0201AF-111_imp port1 port2 PARAMS: Cpar=0.046pF Ind=0.11uH;X1 port1 port2 Model1D PARAMS:;+ R1=636;+ R2=0.05;+ C= {Cpar};+ K1=1.06E-09;+ K2=0.047;+ K3= {Ind};+ K4=0.00351;+ K5=8.1E-08;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1296.66435;.ends 0201AF-111_imp
34,0201AF-141,140nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0201AF-141;* Inductance = 140nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0201AF-141_imp port1 port2 PARAMS: Cpar=0.036pF Ind=0.14uH;X1 port1 port2 Model1D PARAMS:;+ R1=663;+ R2=0.65;+ C= {Cpar};+ K1=1.17E-09;+ K2=0.0498;+ K3= {Ind};+ K4=0.00351;+ K5=8.1E-08;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1608.15141;.ends 0201AF-141_imp
35,0201AF-171,170nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0201AF-171;* Inductance = 170nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0201AF-171_imp port1 port2 PARAMS: Cpar=0.029pF Ind=0.17uH;X1 port1 port2 Model1D PARAMS:;+ R1=726;+ R2=0.86;+ C= {Cpar};+ K1=1.17E-09;+ K2=0.0631;+ K3= {Ind};+ K4=0.00351;+ K5=8.1E-08;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=2121.05455;.ends 0201AF-171_imp
36,0201AF-201,200nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0201AF-201;* Inductance = 200nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0201AF-201_imp port1 port2 PARAMS: Cpar=0.031pF Ind=0.21uH;X1 port1 port2 Model1D PARAMS:;+ R1=736;+ R2=1.25;+ C= {Cpar};+ K1=9.1E-10;+ K2=0.112;+ K3= {Ind};+ K4=0.00391;+ K5=8.1E-08;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=3098.9764;.ends 0201AF-201_imp
